alpha,mean,stdev
0.0,0.05500000000000001,0.012546210878484683
0.1,0.08833333333333333,0.0105409255338946
0.2,0.16666666666666666,0.03042903097250923
0.3,0.24,0.035311663515712674
0.4,0.305,0.05331596939560034
0.5,0.375,0.06248456599556663
0.6,0.45666666666666667,0.0703606231066114
0.7,0.5383333333333333,0.07619419633774975
0.8,0.6116666666666667,0.07159988275043852
0.9,0.6833333333333333,0.056108360768678193
1.0,0.7150000000000001,0.05412035056870023
